;Supplementary Table 2. Differential gene expression analyses in Dux WT and MZ-KO 2-cell embryos;;;;;;;;;;;;;;;;RPKM: Reads Per Kilobase of gene, per Million mapped reads
Gene Symbol;RPKM;;;;;;;;DESeq_output;;;;;;;Group (FC>2&FDR<0.05);Three RNA-seq replicates from each group were used for analyses. Negative binomial test from DESeq R package was used to compute FDR using raw read counts of each gene.  Differentially expressed genes were defined as (RPKM > 1 in either WT or MZ-KO, FDR < 0.05, and FC > 2)
;WT_rep1;WT_rep2;WT_rep3;MZ-KO_rep1;MZ-KO_rep2;MZ-KO_rep3;WT_mean;KO_mean;baseMean;baseMeanA;baseMeanB;fold change (FC);log2FC;pval;FDR;;Related to Figure 2A
1110001A16Rik;8,4892;4,83175;2,32033;6,97294;6,39074;7,77356;5,21376;7,045746667;181,2630233;162,7999249;199,7261218;1,226819496;0,294922998;0,45791449;0,931538246;similar level;
1110001J03Rik;103,674;109,348;102,844;73,127;94,1322;114,405;105,2886667;93,88806667;456,7868917;476,2364643;437,337319;0,918319683;-0,122931626;0,772812624;0,993945447;similar level;
1110002B05Rik;249,534;234,311;256,726;258,639;270,044;358,087;246,857;295,59;5018,932832;4496,197003;5541,668661;1,232523543;0,301615205;0,195104478;0,755496982;similar level;
1110002L01Rik;3,44159;3,35898;3,10373;2,1735;4,16648;4,7748;3,301433333;3,704926667;288,6395774;296,9378165;280,3413382;0,9441079;-0,082976344;0,894749675;1;similar level;
1110002N22Rik;50,0174;41,8334;50,177;14,7789;20,7896;22,6501;47,3426;19,4062;656,498227;919,0121714;393,9842827;0,428704097;-1,221945892;6,00E-06;0,001190242;down-regulated;
1110003E01Rik;208,062;184,401;225,709;192,243;336,008;351,822;206,0573333;293,3576667;8521,18759;6911,832494;10130,54269;1,465681163;0,551571301;0,067086422;0,512467905;similar level;
1110004E09Rik;29,5939;28,599;33,6112;17,8788;19,4467;24,5179;30,60136667;20,61446667;440,5736856;519,457763;361,6896082;0,696282997;-0,522254301;0,067017775;0,512467905;similar level;
1110004F10Rik;117,42;110,18;120,237;88,6292;123,602;117,592;115,9456667;109,9410667;2938,469292;2934,819709;2942,118875;1,002487092;0,00358366;0,906155645;1;similar level;
1110005A03Rik;10,6507;21,31;3,59532;3,94478;1,97355;4,21326;11,85200667;3,377196667;141,7652103;212,0767825;71,453638;0,336923435;-1,569507316;0,00027457;0,021446735;down-regulated;
1110006O24Rik;6,21607;6,71776;2,07743;1,30993;2,66906;3,21056;5,003753333;2,396516667;37,65153452;49,68462194;25,61844709;0,515621254;-0,95561636;0,222800756;0,78083461;similar level;
1110007C09Rik;37,0795;12,51;9,14049;24,2948;29,0925;24,4137;19,57666333;25,93366667;274,0261532;231,2454513;316,8068551;1,370002538;0,454178566;0,28574193;0,833816722;similar level;
1110008F13Rik;421,641;401,315;298,467;317,568;343,915;308,617;373,8076667;323,3666667;3300,998272;3498,734567;3103,261977;0,886966964;-0,173047724;0,517469178;0,946967987;similar level;
1110008J03Rik;8,59066;14,875;16,711;11,478;9,66197;7,32346;13,39222;9,48781;277,0781794;317,2118692;236,9444896;0,746959722;-0,420897643;0,146962143;0,692148454;similar level;
1110008L16Rik;24,6019;30,413;31,5456;18,155;22,8546;31,3877;28,8535;24,13243333;1524,311362;1622,710707;1425,912018;0,878722259;-0,186520855;0,550618525;0,953700189;similar level;
1110008P14Rik;52,8053;63,3304;32,8782;50,2285;54,8983;60,2718;49,6713;55,13286667;413,5424137;382,4647803;444,620047;1,162512393;0,217246096;0,380748278;0,886833274;similar level;
1110012J17Rik;0,587206;0,61414;0,441897;0,307049;0,665333;0,578252;0,547747667;0,516878;81,87902636;81,93131469;81,82673803;0,998723606;-0,001842624;0,887710671;1;similar level;
1110012L19Rik;15,9586;17,7832;18,2578;14,8951;19,0438;19,3727;17,3332;17,77053333;299,9529154;287,384593;312,5212378;1,087466918;0,120971514;0,69394919;0,980219242;similar level;
1110014N23Rik;2,29605;1,62451;1,66414;1,24788;1,1848;0,461773;1,861566667;0,964817667;87,25194337;115,1562632;59,34762358;0,515366007;-0,956330712;0,101371944;0,601881709;similar level;
1110017D15Rik;8,34413;3,64252;5,85679;6,67598;5,82298;3,56734;5,947813333;5,355433333;39,97330355;40,24396831;39,7026388;0,986548804;-0,019537673;0,927397649;1;similar level;
1110017F19Rik;26,2043;22,508;11,8012;26,9372;24,3624;19,217;20,17116667;23,50553333;302,3084032;274,3877317;330,2290747;1,203512535;0,267251168;0,42492248;0,915262948;similar level;
1110018G07Rik;8,86447;8,01746;5,85783;8,96124;8,16133;7,23856;7,57992;8,120376667;729,3061906;694,0214221;764,590959;1,101682073;0,139707946;0,59791146;0,96507394;similar level;
1110018J18Rik;41,2712;26,4883;37,5568;36,5814;40,7623;44,8294;35,10543333;40,72436667;545,779815;495,2650355;596,2945945;1,203990897;0,267824485;0,363358038;0,880528218;similar level;
1110019D14Rik;6,36254;7,10552;6,20277;11,5402;11,5054;8,57373;6,556943333;10,53977667;218,1857019;167,2363169;269,135087;1,609310059;0,686442311;0,057155485;0,478578944;similar level;
1110020A21Rik;17,1017;17,8952;10,5383;14,9822;11,4948;14,7654;15,1784;13,74746667;178,9348402;183,69776;174,1719204;0,948143953;-0,07682198;0,869506563;1;similar level;
1110020G09Rik;5,045;3,91927;2,43208;6,25377;6,83885;4,86094;3,798783333;5,98452;325,9345182;245,6663475;406,2026889;1,653473066;0,725499545;0,02249226;0,311407139;similar level;
1110021J02Rik;1,30309;2,32675;1,11137;1,35232;1,11622;1,45717;1,580403333;1,30857;88,6495735;102,4461904;74,85295658;0,730656321;-0,45273513;0,340281988;0,867996554;similar level;
1110021L09Rik;6,28054;10,9261;10,4884;8,05217;5,33546;10,1552;9,23168;7,84761;444,4000397;466,8247908;421,9752887;0,903926477;-0,145722662;0,628537367;0,970338517;similar level;
1110028C15Rik;5,84081;5,98015;5,70145;7,51704;4,55796;6,4137;5,840803333;6,1629;607,4829586;564,8842996;650,0816176;1,150822599;0,202665457;0,573769361;0,958478033;similar level;
1110028F11Rik;1,93753;1,02179;1,42715;1,26481;1,3571;0,960253;1,462156667;1,194054333;72,35693534;74,23026401;70,48360667;0,949526552;-0,074719751;0,851975365;1;similar level;
1110028F18Rik;5,0573;4,87688;4,70542;2,24774;3,89443;3,04876;4,879866667;3,063643333;93,24747811;106,3976404;80,09731586;0,752811017;-0,409640353;0,42216819;0,913536461;similar level;
1110031I02Rik;1,98045;3,1596;4,06468;2,65362;2,49329;1,84758;3,068243333;2,331496667;58,30466719;65,10373941;51,50559497;0,791131131;-0,338011252;0,491377733;0,940942552;similar level;
1110032A03Rik;21,7567;14,7549;4,55198;12,5777;15,021;15,2476;13,68786;14,2821;410,7771343;390,7519616;430,802307;1,102495571;0,14077286;0,656702035;0,974083694;similar level;
1110032A04Rik;5,00174;6,25311;5,34199;3,42904;7,90445;7,81665;5,53228;6,38338;171,8995538;159,1964851;184,6026225;1,159589814;0,213614566;0,496280673;0,940942552;similar level;
1110032F04Rik;0,663362;0,276792;0,35608;0,255145;0,258132;0,404636;0,432078;0,305971;15,23282625;17,70263783;12,76301467;0,720966829;-0,47199521;0,654461551;0,974083694;similar level;
1110034A24Rik;15,3357;17,231;13,134;15,3313;20,8913;21,3712;15,23356667;19,19793333;747,2965726;648,464715;846,1284301;1,304817996;0,383848585;0,106907365;0,61566153;similar level;
1110034B05Rik;47,83;52,6346;36,8144;45,1601;52,4661;56,0307;45,75966667;51,21896667;1025,874882;934,2215681;1117,528196;1,196213226;0,258474574;0,253548768;0,810827127;similar level;
1110034G24Rik;5,63794;4,89543;5,70502;5,36201;5,09425;6,60926;5,412796667;5,688506667;126,6303101;119,3671075;133,8935128;1,12169521;0,165680717;0,740874566;0,989295423;similar level;
1110035M17Rik;0,181181;0,873588;0;0;0,564019;0,31927;0,351589667;0,294429667;4,248183438;5,35696011;3,139406766;0,586042588;-0,770922585;0,791449257;0,996282906;similar level;
1110036E04Rik;0,210989;0,254328;0,163591;0,586095;0,246305;0,464745;0,209636;0,432381667;12,5134767;11,1971989;13,8297545;1,235108407;0,304637675;0,758435292;0,993422138;similar level;
1110037F02Rik;4,96268;6,53163;6,94782;6,75151;5,04272;5,61628;6,147376667;5,803503333;764,690318;775,930498;753,450138;0,971027869;-0,042415392;0,73903399;0,988790124;similar level;
1110038B12Rik;56,4811;47,1403;37,0007;37,1096;36,6881;41,0544;46,87403333;38,28403333;276,3841862;299,6411302;253,1272423;0,844768013;-0,243372886;0,495790922;0,940942552;similar level;
1110038D17Rik;0,559634;0,755537;0,433913;0,895436;1,01045;1,00589;0,583028;0,970592;36,69354519;26,89146625;46,49562413;1,729010374;0,789946525;0,23504107;0,791898535;similar level;
1110038F14Rik;35,5391;39,3856;37,3926;22,2835;28,7732;25,9036;37,4391;25,65343333;541,0457443;621,984338;460,1071505;0,739740734;-0,434908375;0,129431925;0,659617973;similar level;
1110049F12Rik;35,9881;39,1681;39,8318;40,2903;36,555;34,1874;38,32933333;37,0109;885,265084;881,5960181;888,9341499;1,00832369;0,011958844;0,953810964;1;similar level;
1110050K14Rik;0,0556678;0,0671023;0;0,154636;0,151633;0,0980953;0,040923367;0,1347881;3,693708591;1,903994008;5,483423173;2,879958209;1,526047877;0,532525612;0,951229688;similar level;
1110051M20Rik;3,95753;3,82457;3,33299;1,63005;3,13306;2,34463;3,70503;2,369246667;118,717285;134,5407443;102,8938256;0,76477818;-0,386886733;0,439996814;0,92119709;similar level;
1110054M08Rik;1,20935;1,72478;0,577001;0,206731;1,13139;0,352238;1,170377;0,563453;9,48857016;12,75956871;6,217571607;0,487286972;-1,037156442;0,54263904;0,952857823;similar level;
1110054O05Rik;19,1871;18,6675;27,5703;23,8225;18,7204;18,1813;21,8083;20,2414;1183,407095;1190,880926;1175,933264;0,987448232;-0,01822298;0,720679578;0,985746154;similar level;
1110057K04Rik;3,05152;1,74487;2,1829;3,49856;4,48226;7,57116;2,32643;5,183993333;128,6049025;84,03011005;173,1796949;2,06092429;1,043291507;0,021439096;0,302741401;similar level;
1110058L19Rik;88,7238;54,8896;68,5897;74,5181;128,046;134,158;70,73436667;112,2407;753,4842135;568,8027106;938,1657164;1,649369279;0,721914441;0,022001217;0,306964938;similar level;
1110059E24Rik;106,626;91,0307;79,5284;70,2836;83,7905;90,7652;92,39503333;81,6131;2026,386883;2109,901663;1942,872103;0,920835382;-0,118984827;0,683871438;0,978587319;similar level;
1110059G10Rik;11,5326;22,321;18,196;10,6395;9,42329;12,4267;17,34986667;10,82983;785,5682694;949,5581747;621,5783641;0,654597455;-0,611320103;0,022983139;0,315483797;similar level;
1110059M19Rik;43,9931;42,9555;39,0347;42,1963;38,6085;47,3619;41,99443333;42,72223333;698,5211345;680,2603126;716,7819563;1,053687747;0,075447398;0,797955983;0,997765588;similar level;
1110065P20Rik;0,757747;2,92834;1,17149;1,40145;1,66465;1,84767;1,619192333;1,637923333;23,81677308;20,18782902;27,44571713;1,35951801;0,443095263;0,559105936;0,956500822;similar level;
1110067D22Rik;11,6891;6,42782;8,09112;7,53394;11,8317;10,4546;8,736013333;9,94008;566,0045962;519,9220246;612,0871678;1,177267242;0,235441852;0,368687795;0,881569288;similar level;
1190002F15Rik;3,59292;7,23512;7,30551;6,56553;7,33286;6,61322;6,044516667;6,837203333;49,06685357;42,41492239;55,71878474;1,313659948;0,39359187;0,542130698;0,952857823;similar level;
