gene name;baseMean;log2FoldChange;pvalue;padj;logP;Group;class
Rpl27a;253,3335276;-0,580201634;0,087033833;0,201738701;0,695210779;not-signficant;other
Thnsl1;82,51524595;0,813968252;0,087008665;0,201738701;0,695210779;not-signficant;maternal
Tmem167;391,0684463;-0,525629576;0,087108784;0,201872026;0,694923859;not-signficant;other
Slc43a3;314,0579027;0,651892443;0,087124547;0,201876638;0,694913936;not-signficant;other
Awat2;5,948276777;2,799217701;0,087142118;0,201885437;0,694895008;not-signficant;maternal
Pdia5;46,54320083;0,790090094;0,087216839;0,202026617;0,69459141;not-signficant;maternal
Cyp17a1;2,037348664;-3,519322638;0,087277267;0,202134647;0,694359239;not-signficant;other
4930555B11Rik;4,883645267;-2,287185528;0,087300828;0,202145912;0,694335038;not-signficant;other
Pcsk1n;31,12814889;-0,968916027;0,087309713;0,202145912;0,694335038;not-signficant;major
Ccdc122;38,41086657;0,864198056;0,087383857;0,202221752;0,694172131;not-signficant;other
Mob1a;505,6668423;-0,601740124;0,087359202;0,202221752;0,694172131;not-signficant;other
Ppdpf;52,79438504;0,790124121;0,087372677;0,202221752;0,694172131;not-signficant;other
Rfc3;95,34075339;0,839426668;0,087423281;0,202281049;0,694044802;not-signficant;maternal
Pex14;29,49833154;-0,92417813;0,08758669;0,202627164;0,693302335;not-signficant;maternal
Ppp1r14a;5,0965994;2,147391822;0,087656539;0,202756753;0,693024673;not-signficant;other
Sesn2;267,7882045;-1,062306645;0,087696429;0,202785023;0,692964123;not-signficant;major
Zfp275;21,54745455;1,349383126;0,087686299;0,202785023;0,692964123;not-signficant;other
Usp15;1373,549686;0,518692869;0,087726246;0,202821973;0,692884997;not-signficant;other
Dbndd1;89,87165237;0,84756776;0,08776573;0,20288126;0,692758066;not-signficant;maternal
Cenpp;116,292859;-0,668235746;0,087831919;0,20300225;0,692499148;not-signficant;other
Fam219aos;3,305194706;-3,353033478;0,087919102;0,203171716;0,692136752;not-signficant;other
Iars2;16,08975858;-1,216968439;0,08797885;0,203277739;0,691910178;not-signficant;other
Dbp;6,835823715;2,128722235;0,088050493;0,20331508;0,691830408;not-signficant;other
Klf1;4,47564753;3,019864716;0,088040853;0,20331508;0,691830408;not-signficant;other
Pfkfb4;21,23753517;1,218934765;0,088044865;0,20331508;0,691830408;not-signficant;other
Stox2;19,42634816;1,098951234;0,088043145;0,20331508;0,691830408;not-signficant;other
Fbxw7;27,23064122;1,164108813;0,088071757;0,20333215;0,691793948;not-signficant;other
Arhgap20;107,6023473;0,963092641;0,088119703;0,203410804;0,691625983;not-signficant;other
Pdlim5;125,5767971;0,657803372;0,088197112;0,203557436;0,691313029;not-signficant;other
Pds5a;234,1012963;-0,605468508;0,088234139;0,203610832;0,691199121;not-signficant;major
Asxl3;26,75893177;1,165892143;0,088262461;0,203634829;0,691147941;not-signficant;other
Copz2;20,44261382;1,072574181;0,088282601;0,203634829;0,691147941;not-signficant;other
Rusc2;11,27003412;-1,42594458;0,088286215;0,203634829;0,691147941;not-signficant;other
Ccdc85a;30,38774805;1,025492281;0,08838508;0,203780419;0,690837549;not-signficant;other
Haus1;79,37493872;0,871621272;0,088390799;0,203780419;0,690837549;not-signficant;other
Repin1;20,27692002;1,15018155;0,088391043;0,203780419;0,690837549;not-signficant;maternal
Cnga1;24,9992491;1,215736377;0,088495853;0,20392583;0,690527761;not-signficant;other
Fbxw26;46,83338487;1,006005247;0,088476041;0,20392583;0,690527761;not-signficant;maternal
Tgm6;4,289287577;2,533848462;0,088488546;0,20392583;0,690527761;not-signficant;other
Gm829;3,069394665;-3,225741362;0,088602893;0,204076242;0,690207553;not-signficant;other
Lca5;32,56026293;1,049169705;0,088588913;0,204076242;0,690207553;not-signficant;maternal
S100a14;31,71858687;1,135219927;0,088598087;0,204076242;0,690207553;not-signficant;other
Slc25a19;95,17671777;-0,728261896;0,088644396;0,204139759;0,690072403;not-signficant;other
Pkp4;482,930719;0,520148386;0,088888917;0,204670712;0,688944301;not-signficant;other
Arhgap39;78,30693175;0,839008975;0,088999853;0,204818974;0,688629814;not-signficant;other
Coq9;74,45780753;-0,765243332;0,088979095;0,204818974;0,688629814;not-signficant;maternal
Ffar3;2,727011925;3,756586857;0,089009201;0,204818974;0,688629814;not-signficant;other
Slamf7;26,74232147;-0,950025889;0,088994117;0,204818974;0,688629814;not-signficant;other
Tbck;80,30134001;0,681954157;0,0890234;0,204819495;0,688628709;not-signficant;other
Xrcc6;16,84128738;-1,281662524;0,089074713;0,204905391;0,688446616;not-signficant;maternal
Kctd13;254,5822092;-0,608225627;0,089203688;0,205169881;0,687886393;not-signficant;other
Champ1;267,044808;-0,62534925;0,08924573;0,205234377;0,687749893;not-signficant;other
Rnf34;427,0893567;0,515730866;0,089376946;0,205503887;0,687179959;not-signficant;maternal
Tgfbrap1;167,0638085;0,739716126;0,089682391;0,206173852;0,685766414;not-signficant;other
Fam69b;14,3938907;-1,503953631;0,089741398;0,206277154;0,68554887;not-signficant;maternal
Atp10b;89,62918275;0,800887701;0,089761235;0,206290402;0,685520977;not-signficant;other
Sec13;178,601975;-0,664428227;0,089849698;0,206461337;0,685161264;not-signficant;maternal
Slc52a2;56,67034391;-1,283115852;0,089962674;0,206688539;0,684683604;not-signficant;maternal
Dusp2;24,06460461;1,084486773;0,09007228;0,206833171;0,68437981;not-signficant;other
Golga7;272,0392516;0,521022845;0,090049111;0,206833171;0,68437981;not-signficant;maternal
Pou3f2;2,30349338;3,50942275;0,090077331;0,206833171;0,68437981;not-signficant;other
Tex12;121,1487158;-0,913293719;0,090087737;0,206833171;0,68437981;not-signficant;other
Zbtb8os;84,29064343;1,063873359;0,090096179;0,206833171;0,68437981;not-signficant;other
Ctbp2;71,70522891;0,700318594;0,090140436;0,206872556;0,684297119;not-signficant;maternal
Snhg7;13,22063806;-1,327893315;0,090141562;0,206872556;0,684297119;not-signficant;other
Btbd19;42,46334983;-0,845951241;0,090241732;0,207070023;0,683882769;not-signficant;major
1110004F10Rik;147,3067628;1,025132698;0,090262906;0,207086191;0,683848859;not-signficant;other
BC004004;53,89535163;-0,875203082;0,090304772;0,207126464;0,68376441;not-signficant;maternal
Skint6;25,35420609;-1,370427508;0,090308721;0,207126464;0,68376441;not-signficant;other
Wee1;172,2143945;-0,591241973;0,090332429;0,207148427;0,68371836;not-signficant;other
Etnk2;4,294276585;2,599223934;0,090368621;0,207199006;0,683612331;not-signficant;other
Dfna5;6,889769222;1,992523807;0,090450904;0,207355232;0,683285002;not-signficant;maternal
Ogfod3;6,733328026;-2,013146666;0,090487127;0,207405834;0,683179033;not-signficant;maternal
Hoxd8;4,875450219;2,380330096;0,090518998;0,20741191;0,68316631;not-signficant;other
Ier5l;9,941043706;1,535869845;0,090538594;0,20741191;0,68316631;not-signficant;other
