"Intersection_category","Intersection_count","Gene_name","Gene_id"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Atraid","ENSMUSG00000013622"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Atrip","ENSMUSG00000025646"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Atxn3","ENSMUSG00000021189"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"AU015228","ENSMUSG00000074804"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Aurkaip1","ENSMUSG00000065990"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Avl9","ENSMUSG00000029787"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",2,"Avpi1","ENSMUSG00000018821"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"B2m","ENSMUSG00000060802"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"B4galt3","ENSMUSG00000052423"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Bag1","ENSMUSG00000028416"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2,"Bag5","ENSMUSG00000049792"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Bbs2","ENSMUSG00000031755"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"BC028528","ENSMUSG00000038543"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"BC147527","ENSMUSG00000094796"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Bcat2","ENSMUSG00000030826"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2,"Bcl2l11","ENSMUSG00000027381"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Bclaf1","ENSMUSG00000037608"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Bloc1s2","ENSMUSG00000057506"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Bnip3","ENSMUSG00000078566"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Bola1","ENSMUSG00000015943"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"Bola2","ENSMUSG00000047721"
"B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Bspry","ENSMUSG00000028392"
"C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"Bysl","ENSMUSG00000023988"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Bzw1","ENSMUSG00000051223"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"C130026I21Rik","ENSMUSG00000052477"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3,"C1d","ENSMUSG00000000581"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"C1qbp","ENSMUSG00000018446"
"C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",2,"CAAA01141682.1","ENSMUSG00000117013"
"B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4,"Cab39","ENSMUSG00000036707"
"C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3,"Cacybp","ENSMUSG00000014226"
"B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2,"Cars2","ENSMUSG00000056228"
