"Gene_id","Intersection_category","Intersection_count"
"ALKBH5","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ALKBH8","B6D2F1 pure (N=1)",1
"ALMS1","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ALOX12","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ALPK2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ALS2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ALYREF","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"AMFR","B6D2F1 pure (N=1)",1
"AMMECR1L","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ANK3","B6D2F1 pure (N=1)",1
"ANKHD1","B6D2F1 pure (N=1)",1
"ANKLE2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"ANKRA2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"ANKRD11","B6D2F1 pure (N=1)",1
"ANKRD13C","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ANKRD22","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"ANKRD33B","B6D2F1 pure (N=1)",1
"ANKRD40","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"ANO10","B6D2F1 pure (N=1)",1
"ANP32E","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ANXA2","B6D2F1 pure (N=1)",1
"ANXA7","B6D2F1 pure (N=1)",1
"AP1M1","B6D2F1 pure (N=1)",1
"AP1M2","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"AP1S1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AP1S3","B6D2F1 pure (N=1)",1
"AP2M1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"AP3M1","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"AP3M2","B6D2F1 pure (N=1)",1
"AP4B1","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"AP4E1","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"AP4S1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"AP5M1","B6D2F1 pure (N=1)",1
"APOE","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"APOOL","B6D2F1 pure (N=1)",1
"APOPT1","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"APPBP2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"APPL1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"APRT","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"AQP9","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ARCN1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ARF4","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"ARF5","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ARFGEF1","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"ARFIP1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"ARFRP1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ARG2","B6D2F1 pure (N=1)",1
"ARGLU1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ARHGAP10","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ARHGAP11A","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ARHGAP12","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ARHGAP17","B6D2F1 pure (N=1)",1
"ARHGAP20","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"ARHGAP28","B6D2F1 pure (N=1)",1
"ARHGAP29","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ARHGAP39","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ARHGEF2","B6D2F1 pure (N=1)",1
"ARHGEF39","B6D2F1 pure (N=1)",1
"ARHGEF4","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ARHGEF40","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ARID4B","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ARID5A","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"ARID5B","B6D2F1 pure (N=1)",1
"ARIH2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ARL14EPL","B6D2F1 pure (N=1)",1
"ARL16","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)",2
"ARL2BP","B6D2F1 pure (N=1)",1
"ARL3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ARL4A","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ARL5B","B6D2F1 pure (N=1)",1
"ARL6IP6","B6D2F1 pure (N=1)",1
"ARMC7","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ARMC8","B6D2F1 pure (N=1)",1
"ARPC1A","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ARPC3","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ARPC5","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"ARPC5L","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ARPP19","B6D2F1 pure (N=1)",1
"ARRDC1","B6D2F1 pure (N=1)",1
"ARSK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ASB13","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
"ASB6","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ASB8","B6D2F1 pure (N=1)",1
"ASCC3","B6D2F1 pure (N=1)",1
"ASF1B","B6D2F1 pure (N=1)",1
"ASH2L","B6D2F1 pure (N=1)",1
"ASNA1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"ASPH","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)",2
"ATAD2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATAD2B","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ATAD5","B6D2F1 pure (N=1)",1
"ATF1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATF2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ATF7IP","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATF7IP2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATG101","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ATG12","B6D2F1 pure (N=1)|CAST/EiJxC57BL/6J (N=1)",2
