"Gene_id","Intersection_category","Intersection_count"
"ATG13","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATG14","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ATOX1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP13A3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP23","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"ATP5C1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"ATP5F1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP5G1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP5G3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"ATP5J","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP5K","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"ATP5O","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP6AP2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"ATP6V0E","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATP6V1B2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"ATP6V1C1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"ATPIF1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATRAID","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATRIP","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"ATXN3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AU015228","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"AURKA","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"AURKAIP1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"AVL9","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"B2M","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"B4GALT3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BAG1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BBS2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BC005537","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BC024063","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BC147527","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"BCL2L11","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"BCL7C","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BCLAF1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BDP1","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BIRC5","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BLOC1S2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BNIP3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BOLA1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"BOLA2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"BRCA2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BRIP1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BRIX1","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BRMS1L","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"BSCL2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"BSPRY","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BTBD7","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BTRC","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"BZW1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"C130026I21RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"C130073F10RIK","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"C1D","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"C1QBP","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CAB39","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CALM2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CALR4","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CARHSP1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CASP3","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CASTOR1","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CBFA2T2","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CBLL1","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CCAR1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CCDC115","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CCDC117","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CCDC124","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CCDC25","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CCDC36","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CCDC47","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CCDC77","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CCDC88A","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CCNA2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CCNB1IP1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CCNC","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CCNE1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CCNT1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CCPG1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CCT4","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CD209C","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CD320","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CD9","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CDC25C","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CDC42","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CDC42SE2","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CDC5L","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CDCA3","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CDK1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CDK2AP1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CDK7","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CDKN1A","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CDKN2D","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CELF2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CENPA","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CENPE","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CENPL","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CENPT","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CENPW","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CEP192","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CEP57","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CETN2","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CFAP20","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CFAP97","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CGGBP1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CHAF1B","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CHD1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CHMP5","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CHPT1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CHRNA1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CHTOP","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CHURC1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CIAO2A","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CIR1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CKS2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CLIC4","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CLK4","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CLNS1A","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CLP1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CLPX","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CMSS1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"CNEP1R1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CNIH4","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"CNOT10","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CNOT2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CNPY4","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"CNST","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"COA7","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"COMMD2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"COMMD7","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"COPS2","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"COPS6","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"COQ10B","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"COQ4","B6D2F1 pure (N=1)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",3
"COX17","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"COX4I1","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
"COX6B2","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)",3
"COX7B","B6D2F1 pure (N=1)|C57BL/6 pure (N=3)|C57BL/6 x mix (N=3)|CAST/EiJxC57BL/6J (N=1)",4
