gene_id;log2FoldChange;padj
4933411G11Rik;9.74431424733167;0.00145168305071623
Dmbx1;0;NA
Sord;6.27464322283367;0.0181694103782412
Npw;5.69214219741504;0.0587783884467286
Neurl2;10.8342963602632;2.78531070719485e-05
BC017643;0;NA
6030468B19Rik;0;NA
Usp9y;0;NA
Gm6880;11.0955221761788;3.30315556650034e-12
Mars2;0;NA
Cend1;9.58249128403363;0.0152550538369236
Gusb;0;NA
Hsbp1l1;10.0894211930905;0.00532878011672009
Esp24;10.0769915041644;1.24767896519218e-07
Lat2;0;NA
Fcgr2b;0;NA
Taf1c;0;NA
Slc40a1;0;NA
Fabp4;0;NA
Larp1b;8.05644586633018;1.40350398429732e-07
Rhcg;0;NA
Stac2;9.76600179626482;0.0109017758819258
Sez6l2;0;NA
Olfr376;9.23784761190884;0.00183242235234493
Lpar6;0;NA
Tulp1;0;NA
Bag3;11.119243631761;2.29828078951008e-06
Gm3286;10.0362274037405;0.00731778151096827
Fkbp11;12.3412964991116;9.74114559155159e-20
2610028H24Rik;0;NA
Tmem177;0;NA
Mt1;8.07700614401047;3.86292664738146e-24
Sohlh1;10.6007576797093;3.79042698132833e-05
Flywch2;9.46895733234469;1.30581849232364e-10
Galnt16;0;NA
S100a13;10.3158911000236;0.000942195588835549
Fam43b;9.76940137913908;4.80985042474121e-05
Dnaic2;0;NA
Ifitm2;8.96501763143972;0.00161927785036515
Rab42;0;NA
Hesx1;9.64820207505289;4.91621423790133e-10
Kpna4;11.4445804690101;1.97499859884677e-12
Vmn2r94;9.26141710040279;0.0208960250545172
Tsc22d3;0;NA
Degs2;6.12665070384405;0.0175673157637952
Glod5;9.88094475673407;1.76193389131253e-05
Alppl2;11.1484400510742;3.15393194565997e-15
R3hcc1;8.70430015584356;0.0755945752383658
Npc1l1;0;NA
Tsks;9.77067365745361;0.00740049544683344
Gna15;9.10431031422859;0.0621086217019718
Fuca2;0;NA
Sgpl1;0;NA
Emc9;9.41243537493235;0.0262563672196488
Gm773;12.049833012618;6.72956773864106e-11
Tdpoz4;7.81303142326974;0.114349147454758
Cda;10.0377937303334;0.00472502009029307
A630001G21Rik;8.91419417745263;0.0503457202625429
Xkr9;0;NA
Clcnka;10.0224101629711;0.00480264340682511
Tsen2;3.85151302711085;0.123707322776984
Spats1;10.8258040576064;0.000346827638123369
Npr1;0;NA
Prss46;0;NA
Trim25;6.83157147663504;0.000282212390347904
Elovl6;8.98888256227142;0.000196551976051455
Socs2;0;NA
Coro1a;10.116940152944;0.00551721776975431
Psme2b;2.42949542780884;0.437800602667982
AA414768;0;NA
Scd2;9.73032159802473;0.00019731328591716
Msn;0;NA
Psat1;7.81788706886546;5.48001655585784e-06
Ccnd2;0;NA
Slc39a2;0;NA
Cypt2;8.7044955034038;0.0551949870267362
Mybpc2;0;NA
Gorasp1;0;NA
Fam159a;5.92695689127281;0.0185327844413769
Nxpe3;0;NA
Apc2;8.53862049001991;0.0385865033525177
Rps19;7.69082651198331;3.4292620303724e-16
Mmp19;0;NA
Tmppe;9.69126925762485;4.54670249539133e-09
Fam109a;0;NA
Ctsl;8.58077095469884;8.97070914272611e-13
Fxyd5;7.52866051696747;4.23493906259257e-06
Cd79a;0;NA
Sez6l;9.72281179728212;0.0101515227283006
Slc2a3;0;NA
Gnmt;6.13772349830759;0.0414661929440396
Morc4;0;NA
Slc1a4;0;NA
Klrg2;0;NA
Emp3;0;NA
Tubgcp6;0;NA
Exoc8;4.46695415260885;0.0596565319152232
Gramd1b;11.363980612362;2.20462748087111e-06
Flt3l;11.1970217725253;7.80441339943512e-05
Apobec1;0;NA
6330403K07Rik;0;NA
Fez1;10.7002311129755;0.0259812298384588
Ephb3;0;NA
Rab19;0;NA
Lat;10.2005938457554;0.0042732756760626
Lrrc43;9.9045821516971;0.00129325460494856
Plekhf1;0;NA
Crabp1;8.50455363671709;0.0017492175147744
Dedd2;9.54459210144482;0.00213074047595795
Tnnc2;3.57388474924211;0.010683516477246
Tsnaxip1;9.06803277993381;0.0354968997286924
Pnlip;0;NA
Sigirr;0;NA
Clic1;10.1335772441784;0.00437242906793257
Slc6a8;0;NA
Gm1527;0;NA
Cd52;6.31446467379389;0.0927916879832214
Slc2a8;0;NA
Hspa1a;7.45715490742975;0.133249580451611
Shbg;0;NA
Ninl;8.34012062161561;0.0899007840950864
Arhgef19;0;NA
Ttll12;0;NA
Mafk;8.20855864762913;0.0207183880505188
A830080D01Rik;10.7916324146877;2.32649826965592e-09
Smim6;0;NA
Rinl;8.06465388166258;0.0214992601100466
Pyy;9.1516787780038;1.48609997702978e-07
Selm;0;NA
Wdr81;5.4049773429742;0.181514929687405
Trim43b;4.66843507644777;1.24280917752385e-21
Prl7b1;0;NA
Crxos;10.4115424272101;4.10893220415846e-12
Parm1;0;NA
Erap1;0;NA
Muc1;0;NA
Tex43;10.2479138384858;0.000241852548572437
Cyba;7.91618747076063;0.00136205540247437
Alg5;11.675158907957;2.15164259434798e-05
Fblim1;11.8621351742223;2.64046760070318e-14
Hexb;12.1938690321268;2.37146865631799e-10
Kctd12;9.55981742623179;0.000580686215859989
Pitpnb;9.06829277417386;1.73462255046689e-05
Rnf151;11.2736942534442;1.3937043417115e-05
Dio3;0;NA
Gstm1;5.71651542423659;0.00293369351550706
BC021614;0;NA
Gm6432;11.0346724568561;5.54124620291635e-08
Abca17;0;NA
Fam227a;9.7860209044847;4.0290368701962e-05
Tmsb15b1;4.48171683561816;0.0038425435639195
Slc5a11;0;NA
Plin1;9.10637396255769;0.0620436924427476
Gdf3;0;NA
Sesn2;0;NA
Tmem63a;0;NA
Ecscr;0;NA
Fzd2;9.36889492584202;0.00508608308927681
Dbndd2;0;NA
Mocs3;0;NA
Colgalt1;0;NA
Klf8;10.0953001101389;0.00110635309435796
Esx1;0;NA
Plod3;0;NA
Ism2;0;NA
Abcc10;6.88049710905966;0.169462409863658
Ttll9;0;0.176308181925304
2610528A11Rik;0;NA
Nmi;10.6651302929681;7.81466568824471e-07
Ucn;0;NA
Caskin1;0;NA
Atxn7l3;0;NA
Ehd2;0;NA
Gtsf1l;5.7822618518809;0.00489641032273063
Slc19a3;12.3183727277672;1.63364135227661e-12
Cutal;0;NA
Efemp2;0;NA
Theg;0;0.0591155566652629
Rnf128;11.2350756306012;7.82763478358641e-05
Slc16a6;3.36900751468317;0.0536228366274064
Irf2bpl;0;NA
Tmub2;0;2.65889106610495e-06
Tra2a;3.36244843325261;0.00203680013115927
Apol7b;0;NA
Sp6;0;NA
Trim7;0;0.154623770784819
Jade1;0;NA
Tatdn1;5.42186029911718;0.0605059353604135
Itgb7;0;NA
Stmn3;7.47138768190955;0.000866133866033702
Ppp1r14a;9.08322269213337;1.63240408211045e-05
Fah;0;NA
Gm6890;11.1097622506864;1.05582158828101e-09
Phyhd1;0;NA
Gm15056;11.2667696474251;5.19054997105492e-10
Fbxo6;11.9159838819904;9.51563568477653e-15
Fabp9;11.0399565733205;1.56229315350455e-07
Filip1l;0;0.185558134168257
Sbno2;0;NA
P2rx7;0;NA
Gm16381;0;NA
Ccdc51;9.94516189739702;0.00909827522314489
Prkcq;0;NA
Ptprh;0;NA
Bbs1;-0.499829910455899;0.874613699880325
Cyp4f18;0;NA
Tfpi2;0;NA
Ficd;11.5817382207565;7.22650469062624e-13
Tjp3;0;NA
4930502E18Rik;10.3709234574481;6.41120870697635e-09
Qsox2;0;0.957670369381135
Cpt1a;8.51287904954562;0.0830150528960483
Rbmx;9.04010377882244;2.94479557804272e-07
Nfe2;0;NA
Adamtsl4;0;NA
Steap1;0;0.0245454005908399
Foxh1;0;NA
Zcchc11;4.04392927653461;0.191785775505742
Flywch1;0;NA
LOC100502896;0;NA
Mettl13;0;NA
Ggt6;0;NA
Rps3;9.48857635631062;3.91059151122817e-27
Cndp2;9.85172344716308;0.000312673444591398
Kcnu1;9.65821916555733;0.000614336583337801
Smpd2;10.6705109673892;0.000166269121837922
Akr1b10;0;NA
Cox20;0;NA
Pramel3;0;NA
Ptrh1;11.5589548365884;2.35872417831929e-20
Icam2;0;NA
Lrrc25;0;NA
Ddah2;0;NA
Gmppb;8.49107426243496;0.0838579352065656
Hpdl;9.93067873644855;1.32043863606048e-05
Ceacam1;0;NA
Cox7a1;10.7122029461951;0.000390525021022781
Slc4a3;0;NA
AA467197;9.79355990147354;0.000413265821171871
Gm3139;9.10129061690429;0.0621717436419584
Uba1y;0;NA
Naga;8.54482414021758;0.0818054211448919
4930444P10Rik;9.24603357569564;0.0576730374416098
Slfn4;0;NA
Mroh5;0;NA
Frem2;11.2215421267623;0.0007255045953606
Clps;10.1365408771043;4.76219496033633e-05
Cxcl9;0;NA
Gcsh;10.0016471884525;1.16662434549186e-06
Cbr2;2.89687359239002;0.588779493123694
Vmo1;10.7559106213286;0.000546972741728657
Hkdc1;0;NA
Ticam2;0;NA
Pla2g16;3.97937960232307;0.0206169030539922
Lama3;0;NA
Rpp25;9.22904737647993;2.97893009185885e-13
Sgsh;0;NA
Pex10;0;NA
Pvr;0;NA
Pmel;4.23280418504652;0.309679633633276
Rhov;0;NA
Bex4;0;NA
Syngr1;7.76892752245852;0.000688547548012422
BC048644;10.2033666185522;2.21781000773633e-06
B3gat3;10.7711024201634;1.3587579820534e-05
Hdx;9.45992190084913;0.00262479340304536
2810459M11Rik;0;NA
Spin2d;-7.15884072994751;0.151319894643549
Tnfrsf13b;0;NA
Pea15a;0;NA
Rasl10a;9.37151071582835;0.0418325845592019
Il6ra;0;NA
Plcd3;0;NA
Adam8;0;NA
Defa-rs1;0;NA
Obox3;8.3425173132214;3.07490475253191e-50
Fut9;0;NA
Zan;0;0.085085763898468
Tm4sf1;0;NA
Prr15l;0;NA
Tulp2;6.31078920488599;0.0475978457220846
Fn3krp;0;NA
Tac4;0;NA
Kcnip3;0;NA
Mob3b;0;NA
Nlrc3;0;NA
Tmem130;3.74658160905882;0.240829413632561
Liph;0;NA
Dkkl1;7.21493121205043;0.000434552502712073
Zfp324;0;NA
Npas1;0;NA
S100a3;0;NA
BC053393;0;NA
Gm12250;0;NA
H2-Ab1;11.2280766549802;0.0148679913455417
Slc25a41;10.1707395890306;0.0174952931109624
Rbp7;-0.815242602011873;0.887181243640818
Renbp;11.4279484878298;7.45226006609323e-22
Usp50;7.69377220618112;0.000898207612058992
Eif1a;11.4636204927414;3.0605030711377e-17
Spag4;0;NA
Myadml2;0;NA
Sapcd1;0;NA
Glis2;0;NA
Cchcr1;5.76702247244908;0.0496873749916518
Tbx3;2.2446567762743;0.241131143756851
Folr2;0;NA
Ano9;0;NA
Mxra7;0;NA
Gprasp2;0;NA
1600015I10Rik;0;NA
Pdp2;5.659962319336;0.0145445975119982
Isg15;0;NA
Slc27a4;0;NA
Cypt12;9.63521992182794;0.0187067405518671
Serpina1f;8.77847263478539;0.0601847527828024
Ndrg1;0;NA
Gm4567;7.47397835140815;0.0566166177462122
C2cd2l;0;NA
Amn;0;NA
Itpr3;0;NA
Cidea;0;NA
Eid3;0;NA
Tmem223;0;NA
Acrbp;0;NA
Mpdu1;0;NA
Ttll6;4.04932681715388;0.17215993695263
Vps18;8.04872395444384;0.10300730231982
Trpc6;0;0.939751445631299
BC003965;11.8142241201068;6.6685438741872e-05
E130309D14Rik;0;NA
Jmy;8.84867342675394;4.9229023760003e-09
Adm;10.0802676335259;0.00768138305668769
Cfp;0;NA
Adck5;9.27631595213771;0.0124546345289301
Dhrs7;0;NA
Foxa1;0;NA
Mgl2;0.435303751961502;0.938757402353806
Ostm1;4.32865901297934;0.0448540556588144
Gm5941;0;NA
Sowahc;0;NA
Foxi3;0;NA
Klf2;7.1535599869319;0.00109732347171237
Chst8;0;NA
Chrne;0;NA
Ggt7;0;NA
Slc35e3;9.63022554346953;2.04629281807172e-06
Dnd1;0;NA
Lrsam1;0;NA
Maneal;0;NA
Gm9;10.118564517409;2.43271758191621e-11
Gm1661;0;NA
Npdc1;0;0.104494884953485
Gm128;10.9848083841882;6.84611203498208e-07
Cp;0;NA
Grrp1;0;NA
Noxred1;0;NA
Clca4a;0;NA
Gm8300;8.10646922038993;7.82838457455358e-07
1700123O20Rik;11.7653703678194;1.26368689640645e-10
Nupr1;6.36966768522646;0.000104739661357782
Epm2aip1;0;NA
Fut2;0;NA
Zfp446;5.1276112000993;0.144546364178662
Gm14851;0;NA
Tmc8;0;NA
Zfp874b;3.19633722816311;0.034092289050388
Pwp1;7.0652780393282;3.06321204269207e-08
Hmcn1;9.9755902831185;0.00980311312377998
Tekt1;10.4228096462784;4.39967578919795e-06
Fbxo44;0;NA
Slc46a1;0;NA
Blnk;3.57919403238371;0.14372695188635
Ankrd9;0;NA
2310047M10Rik;9.30460978576034;0.0245353494103749
